Timestamp,Instrument Name,Instrument Abbreviation,Scale Labels,Respondent,Phase,Additional Notes
10/28/2014 16:33:51,HBQ,pb,"attention composite		ac
conduct disorder		cd
depression		de
enuresis		en
externalizing composite		ec
health care utilization		hu
impact on family		if
impact on self			is
impulsivity		im
inattention		at
internalizing composite	ic
opposition & defiance	  od
overt aggression	  ag
overanxiousness	oa
physical health	ph
prosocial behavior	ps
recreational activities		rc
separation anxiety	sa
social relations		sr","Mother, Father","Phase 2, Phase 3, Screener",There are two instrument abbreviations for HBQ (hb & pb)
10/28/2014 16:36:53,HBQ (PAR ADO/SIB. REP.),hb,"asocial		as
conduct disorder	cd
conduct disorder expanded	cx
depression		de
depression expanded	 dx
health care utilization  	hu
impact on family	   if
impact on self	 (twin)	is
impulsivity		im
inattention		at
inattention expanded	tx
inhibition		in
inhibition expanded	nx
oppositional defiant dis. 	od
overanxious 	oa
overanxious expanded 	ox
overt aggression 	ag
overt agg. expanded 	gx
peer acceptance-rejection	ar
physical health	ph
prosocial behaviors	ps
recreational activities	ra
relational aggression 	pbra
relational agg. expanded 	rx
relational victim	rv
separation anxiety 	sa
social anxiety	so
social perception skills	sp
social relations	sr","Mother, Father","Phase 4, Phase 5",
10/28/2014 16:39:13,HBQ (ADOL CHILD REP),ha,"academic competence 	ap
asocial 	as
bullied 	bu
conduct disorder 	cd
depression   	de
impulsivity 	im
inattention 	at
oppositional defiant disorder 	od
overanxious 	oa
overt aggression 	ag
peer acceptance/rejection 	pa
physical health 	ph
prosocial behaviors 	ps
relational aggression 	ra
relational victim 	rv
school engagement 	se
separation anxiety 	sa
social anxiety 	sx
social inhibition 	si",Twin,"Phase 4, Phase 5",
10/28/2014 16:48:26,HBQ (ADO. COTWIN REP),ha,"academic competence 	ap
asocial 	as
bullied 	bu
overt aggression 	ag
peer acceptance/rejection 	pa
prosocial behaviors 	ps
relational aggression 	ra
relational victim 	rv
social inhibition 	si",Twin,Phase 4,
10/28/2014 16:49:39,HOME,ho,"acceptance of child behavior	ac
opportunities for variety		va
organization of environment	or
parental involvement		pi
provisions of play materials	  pl
responsiveness		rp",interviewer,"Phase 3, Phase 4",
10/28/2014 16:50:35,HOSTILE ATTRIBUTIONS,hs,"distress in instru. provocations 	di
distress in relat. provocations 	dr
intent attri for instru provocations	  is
intent attri for relat provocations  	rs",Twin,Phase 4,
10/28/2014 16:51:00,HUQ,hu,,Twin,Phase 4,
10/28/2014 16:53:03,INTERVIEW,in,,"Mother, Father","Phase 1, Phase 3, Phase 4, Phase 5",
10/28/2014 16:58:48,ITSEA,it,"activity 			ac
activity/impulsivity 		ai
aggression/defiance 		ad
anxiety/obsessive compulsive 	ac
anxiety/worry 		aw
attention 			at
competence 	                                 co
compliance 			cm
defiance 	de
depression withdrawal 	dw
dispositional aggression 	da
dysregulation 	dy
eating 	et
eating (group score)	ea
eating pathology 	ep
externalizing symptoms 	es
general anxiety 		ga
impulsivity 			im
inhibition to novelty 		in
internalizing symptoms 		is
maladaptive 	ma
negative emotionality 	ne
oppositional/defiant aggression 	od
overt aggression		oa
peer aggression 		pa
pica	pi
ptsd	pt
relational aggression 		ra
relational defiance 		rd
seperation distress 		sd
sensory sensitivity 	ss
sexualized behavior 	sb
sleep 			sl
toileting 			to
tourette symptoms 	ts","Mother, Father",Phase 1,
10/28/2014 16:59:36,LES,le,"event score 			ev
positive impact 		pi
negative impact 		ni
total impact 			ti",Mother,Phase 3,
10/28/2014 17:03:22,MASC,ma,"anxiety disorders index 	ad
anxious coping	ac
harm avoidance	ha
humiliation fears 		hf
perfectionism 		pe
performance fears 		pf
physical symptom 		ph
separation/panic 		sp
somatic 			so
total anxiety 		an",Twin,"Phase 4, Phase 5",
10/28/2014 17:03:45,"Measurements (ht, wt)",ms,,Twin,"Phase 3, Phase 4",
10/28/2014 17:05:19,MPQ,mp,"absorption	ab
achievement	ac 
aggression	      ag
alienation	al
control (vs impulsive)	cn
harm avoidance	ha
social closeness	sc
social potency	sp
stress reaction	sr
stress reaction (short version)	ss
traditionalism	tr
wellbeing	wb
well being (short version)   	ws","Mother, Father",Phase 3,
10/28/2014 17:05:52,MPQ (SHORT),mq,"stress reaction	st
well-being	wb","Mother, Father",Phase 4,
10/28/2014 17:06:24,MRI,mr,,Mother,Phase 5,
10/28/2014 17:07:25,NRI,nr,"admiration	ad
affection	af
companionship	co
disclosure			di
guidance			gu
nurturance			nu
reliable alliance 		rl",Twin,Phase 4,
10/28/2014 17:08:03,PANAS,pa,"negative affect	na
positive affect	pa","experimenter 1, experimenter 2",Phase 3,
10/28/2014 17:09:25,PARENTAL MONITOR,pm,,"Mother, Father",Phase 4,"c and t are also mentioned under respondent ""in Digits"""
10/28/2014 17:09:44,PA TASK,pt,,Twin,Phase 4,
10/28/2014 17:10:14,PDD (TWIN/SIB),pd,,Mother,"Phase 3, Phase 4",*Separate from pd = play-dough
10/28/2014 17:11:03,PSI,ps,"lack of attachment	la
role restriction	rr
sense of incompetence	si
social isolation	is
spousal relationship	sr",Mother,Phase 3,
10/28/2014 17:11:26,PPVT,pp,,Twin,"Phase 3, Phase 4",
10/28/2014 17:11:47,PW STROOP,pw,,experimenter 2,Phase 4,
10/28/2014 17:12:07,REACTIVE CORTISOL,rc,,Twin,Phase 3,
10/28/2014 17:12:29,RELIGIOSITY,re,,Twin,Phase 4,
10/28/2014 17:12:46,RETRO. HOUSE. INFO,rh,,Mother,Phase 4,
10/28/2014 17:13:05,ROLE OVERLOAD,ro,,Mother,Phase 4,
10/28/2014 17:14:31,SD	,sd,"auditory 			au	
background 		ba 
experiences 	ex
garment 	ga
loud 	lo
materials 	ma
self-care 	sc 
sounds 	so
surfaces 	su
tactile 			ta	",Mother,Screener,
10/28/2014 17:15:21,SI,si,"auditory 			au	
tactile 	ta	",Mother,Phase 3,"t also mentioned under respondent ""in Digits"""
10/28/2014 17:16:05,SELF ESTEEM ,se,,Twin,Phase 4,
10/28/2014 17:27:05,SIPA,sa,"adoles.-par. relation. domain 	ap
life restrictions 	lr
incompetence/guilt 	in
relationship with spouse/partner 	re
social alienation 	so","Mother, Father",Phase 4,
10/28/2014 17:28:39,SRQ (Adol child report),sr,"admiration by sibling 	ab
admiration of sibling 	ao
affection 	af
antagonism 	an
companionship 	cn
competition 	ct
dominance by sibling 	db
dominance of sibling 	do
intimacy 	in
maternal partiality 	mp
nurturance by sibling 	nb
nurturance of sibling 	no
paternal partiality 	pp
prosocial 	ps
quarreling 	qu
similarity 	si",Twin,Phase 4,
10/28/2014 17:30:01,SRQ (child report),sc,"affection 	af
antagonism 	an
companionship 	cn
competition 	ct
dominance by sibling 	db
dominance of sibling 	do
maternal partiality 	mp
paternal partiality 	pp
prosocial 	ps
quarreling 	qu
similarity 	si",Twin,Phase 3,
10/28/2014 17:31:29,SRQ (parent report),sp,"admiration by sibling 	ab
admiration of sibling 	ao
affection 	af
antagonism 	an
companionship 	cn
competition 	ct
dominance by sibling 	db
dominance of sibling 	do
intimacy 	in
maternal partiality 	mp
nurturance by sibling 	nb
nurturance of sibling 	no
paternal partiality 	pp
prosocial 	ps
quarreling 	qu
similarity 	si",Mother,"Phase 3, Phase 4",
10/28/2014 17:31:54,STUDENT INVENTORY,st,,Mother,Phase 4,
10/28/2014 17:32:15,TANNER STAGES,ts,,Twin,Phase 4,
10/28/2014 17:33:19,TBAQ,tb,"activity level	al
anger	an
inhibitory control  	ic
interest	in
pleasure	pl
sadness	sd
social fear	 sf","Mother, Father",Phase 1,
10/28/2014 17:34:17,TIRE,ti,"differential parental criticism 	dp
differ. twins’ peers’ cond. probs.	dc
dominance between twins	dt
father’s preference 	fp
friends’ vs. sub’s conduct probs. 	fs
mother’s preference 	mp","Mother, Father, Twin","Phase 4, Phase 5",
10/28/2014 17:36:02,TIRE,ti,"differential parental criticism 	dp
differ. twins’ peers’ cond. probs.	dc
dominance between twins	dt
father’s preference 	fp
friends’ vs. sub’s conduct probs. 	fs
mother’s preference 	mp
negative parenting 	np
positive parenting 	pp
twins’ closeness 	tc
twins’ quarrels and fights 	tq","Mother, Father, Twin","Phase 4, Phase 5","this is the CORRECT TIRE
ignore the other TIRE entry"
10/28/2014 17:36:45,ZYGOSITY,zy,,"Mother, experimenter 1, experimenter 2","Phase 1, Phase 2, Phase 3, Phase 4, Screener",
